r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
1.2200000000000000e-01,1.5059088630277223e-01,1.5432136856317499e-01
1.2300000000000000e-01,1.5164271324898132e-01,1.5543505769259522e-01
1.2400000000000000e-01,1.5268755277543100e-01,1.5654227935544351e-01
1.2500000000000000e-01,1.5372545898668682e-01,1.5764308802121108e-01
1.2600000000000000e-01,1.5475648587212942e-01,1.5873753804724672e-01
1.2700000000000000e-01,1.5578068727673072e-01,1.5982568364953775e-01
1.2800000000000000e-01,1.5679811687394127e-01,1.6090757887558924e-01
1.2900000000000000e-01,1.5780882814056335e-01,1.6198327757927750e-01
1.3000000000000000e-01,1.5881287433348998e-01,1.6305283339756221e-01
1.3100000000000001e-01,1.5981030846819425e-01,1.6411629972894676e-01
1.3200000000000001e-01,1.6080118329886040e-01,1.6517372971358363e-01
1.3300000000000001e-01,1.6178555130005673e-01,1.6622517621492683e-01
1.3400000000000001e-01,1.6276346464984939e-01,1.6727069180283938e-01
1.3500000000000001e-01,1.6373497521427566e-01,1.6831032873806911e-01
1.3600000000000001e-01,1.6470013453308929e-01,1.6934413895801043e-01
1.3700000000000001e-01,1.6565899380670654e-01,1.7037217406367514e-01
1.3800000000000001e-01,1.6661160388428439e-01,1.7139448530779922e-01
1.3900000000000001e-01,1.6755801525286515e-01,1.7241112358401683e-01
1.4000000000000001e-01,1.6849827802752876e-01,1.7342213941703694e-01
1.4099999999999999e-01,1.6943244194249538e-01,1.7442758295376082e-01
1.4199999999999999e-01,1.7036055634312361e-01,1.7542750395528414e-01
1.4299999999999999e-01,1.7128267017874862e-01,1.7642195178972725e-01
1.4399999999999999e-01,1.7219883199630781e-01,1.7741097542584458e-01
1.4499999999999999e-01,1.7310908993470520e-01,1.7839462342736326e-01
1.4599999999999999e-01,1.7401349171985869e-01,1.7937294394800621e-01
1.4699999999999999e-01,1.7491208466038888e-01,1.8034598472715652e-01
1.4799999999999999e-01,1.7580491564390063e-01,1.8131379308612261e-01
1.4899999999999999e-01,1.7669203113381671e-01,1.8227641592496630e-01
1.4999999999999999e-01,1.7757347716672855e-01,1.8323389971985693e-01
1.5100000000000000e-01,1.7844929935022744e-01,1.8418629052091912e-01
1.5200000000000000e-01,1.7931954286119026e-01,1.8513363395054064e-01
1.5300000000000000e-01,1.8018425244449032e-01,1.8607597520211142e-01
1.5400000000000000e-01,1.8104347241211202e-01,1.8701335903916452e-01
1.5500000000000000e-01,1.8189724664264484e-01,1.8794582979489280e-01
1.5600000000000000e-01,1.8274561858113550e-01,1.8887343137201607e-01
1.5700000000000000e-01,1.8358863123927890e-01,1.8979620724297436e-01
1.5800000000000000e-01,1.8442632719592081e-01,1.9071420045042581e-01
1.5900000000000000e-01,1.8525874859785618e-01,1.9162745360802749e-01
1.6000000000000000e-01,1.8608593716089317e-01,1.9253600890147923e-01
1.6100000000000000e-01,1.8690793417116519e-01,1.9343990808981240e-01
1.6200000000000001e-01,1.8772478048666738e-01,1.9433919250690510e-01
1.6300000000000001e-01,1.8853651653899597e-01,1.9523390306320790e-01
1.6400000000000001e-01,1.8934318233527422e-01,1.9612408024766437e-01
1.6500000000000001e-01,1.9014481746024714e-01,1.9700976412981114e-01
1.6600000000000001e-01,1.9094146107853288e-01,1.9789099436204449e-01
1.6700000000000001e-01,1.9173315193702037e-01,1.9876781018203982e-01
1.6800000000000001e-01,1.9251992836740359e-01,1.9964025041531178e-01
1.6900000000000001e-01,1.9330182828884507e-01,2.0050835347790402e-01
1.7000000000000001e-01,1.9407888921076297e-01,2.0137215737919706e-01
1.7100000000000001e-01,1.9485114823573330e-01,2.0223169972482447e-01
1.7199999999999999e-01,1.9561864206250107e-01,2.0308701771968760e-01
1.7299999999999999e-01,1.9638140698908943e-01,2.0393814817106010e-01
1.7399999999999999e-01,1.9713947891599973e-01,2.0478512749177313e-01
1.7499999999999999e-01,1.9789289334948834e-01,2.0562799170347426e-01
1.7599999999999999e-01,1.9864168540491253e-01,2.0646677643995157e-01
1.7699999999999999e-01,1.9938588981013136e-01,2.0730151695051655e-01
1.7799999999999999e-01,2.0012554090895235e-01,2.0813224810343903e-01
1.7899999999999999e-01,2.0086067266461685e-01,2.0895900438942805e-01
1.7999999999999999e-01,2.0159131866331390e-01,2.0978181992515271e-01
1.8099999999999999e-01,2.0231751211772195e-01,2.1060072845679739e-01
1.8200000000000000e-01,2.0303928587057163e-01,2.1141576336364701e-01
1.8300000000000000e-01,2.0375667239823078e-01,2.1222695766169633e-01
1.8400000000000000e-01,2.0446970381430890e-01,2.1303434400728016e-01
1.8500000000000000e-01,2.0517841187328345e-01,2.1383795470071920e-01
1.8600000000000000e-01,2.0588282797414389e-01,2.1463782168997808e-01
1.8700000000000000e-01,2.0658298316405371e-01,2.1543397657433208e-01
1.8800000000000000e-01,2.0727890814202671e-01,2.1622645060803872e-01
1.8900000000000000e-01,2.0797063326261214e-01,2.1701527470401130e-01
1.9000000000000000e-01,2.0865818853958365e-01,2.1780047943749131e-01
1.9100000000000000e-01,2.0934160364962792e-01,2.1858209504971710e-01
1.9200000000000000e-01,2.1002090793602077e-01,2.1936015145158569e-01
1.9300000000000000e-01,2.1069613041229129e-01,2.2013467822730623e-01
1.9400000000000001e-01,2.1136729976586743e-01,2.2090570463804193e-01
1.9500000000000001e-01,2.1203444436169644e-01,2.2167325962553899e-01
1.9600000000000001e-01,2.1269759224584586e-01,2.2243737181574044e-01
1.9700000000000001e-01,2.1335677114907725e-01,2.2319806952238297e-01
1.9800000000000001e-01,2.1401200849040161e-01,2.2395538075057533e-01
1.9900000000000001e-01,2.1466333138061250e-01,2.2470933320035655e-01
2.0000000000000001e-01,2.1531076662580290e-01,2.2545995427023280e-01
2.0100000000000001e-01,2.1595434073086603e-01,2.2620727106069133e-01
2.0200000000000001e-01,2.1659407990297896e-01,2.2695131037769081e-01
2.0300000000000001e-01,2.1723001005507192e-01,2.2769209873612595e-01
