xi,D_torus,D_infinite
2.0699999999999999e-01,2.1198550573595361e+00,2.0260025104973538e+00
2.0799999999999999e-01,2.1234544447484378e+00,2.0287944194102852e+00
2.0899999999999999e-01,2.1270368735727145e+00,2.0315656941695717e+00
2.0999999999999999e-01,2.1306025582922787e+00,2.0343165355168451e+00
2.1099999999999999e-01,2.1341517114679145e+00,2.0370471421890191e+00
2.1199999999999999e-01,2.1376845437707876e+00,2.0397577109277800e+00
2.1299999999999999e-01,2.1412012639925431e+00,2.0424484364896376e+00
2.1400000000000000e-01,2.1447020790559326e+00,2.0451195116564866e+00
2.1500000000000000e-01,2.1481871940259527e+00,2.0477711272466537e+00
2.1600000000000000e-01,2.1516568121214421e+00,2.0504034721263977e+00
2.1700000000000000e-01,2.1551111347271417e+00,2.0530167332218312e+00
2.1800000000000000e-01,2.1585503614061614e+00,2.0556110955312303e+00
2.1900000000000000e-01,2.1619746899128067e+00,2.0581867421377149e+00
2.2000000000000000e-01,2.1653843162058073e+00,2.0607438542222618e+00
2.2100000000000000e-01,2.1687794344618316e+00,2.0632826110770357e+00
2.2200000000000000e-01,2.1721602370893449e+00,2.0658031901190026e+00
2.2300000000000000e-01,2.1755269147427292e+00,2.0683057669038165e+00
2.2400000000000000e-01,2.1788796563366719e+00,2.0707905151399428e+00
2.2500000000000001e-01,2.1822186490607995e+00,2.0732576067030082e+00
2.2600000000000001e-01,2.1855440783945266e+00,2.0757072116503545e+00
2.2700000000000001e-01,2.1888561281221022e+00,2.0781394982357742e+00
2.2800000000000001e-01,2.1921549803478491e+00,2.0805546329244127e+00
2.2900000000000001e-01,2.1954408155115588e+00,2.0829527804078207e+00
2.3000000000000001e-01,2.1987138124040455e+00,2.0853341036191364e+00
2.3100000000000001e-01,2.2019741481828179e+00,2.0876987637483886e+00
2.3200000000000001e-01,2.2052219983878869e+00,2.0900469202578975e+00
2.3300000000000001e-01,2.2084575369576651e+00,2.0923787308977659e+00
2.3400000000000001e-01,2.2116809362449512e+00,2.0946943517214480e+00
2.3499999999999999e-01,2.2148923670330181e+00,2.0969939371013724e+00
2.3599999999999999e-01,2.2180919985517251e+00,2.0992776397446242e+00
2.3699999999999999e-01,2.2212799984937250e+00,2.1015456107086599e+00
2.3799999999999999e-01,2.2244565330306840e+00,2.1037979994170497e+00
2.3899999999999999e-01,2.2276217668295453e+00,2.1060349536752434e+00
2.3999999999999999e-01,2.2307758630688199e+00,2.1082566196863359e+00
2.4099999999999999e-01,2.2339189834548736e+00,2.1104631420668389e+00
2.4199999999999999e-01,2.2370512882382338e+00,2.1126546638624353e+00
2.4299999999999999e-01,2.2401729362298890e+00,2.1148313265637215e+00
2.4399999999999999e-01,2.2432840848175633e+00,2.1169932701219203e+00
2.4500000000000000e-01,2.2463848899819898e+00,2.1191406329645597e+00
2.4600000000000000e-01,2.2494755063131411e+00,2.1212735520111137e+00
2.4700000000000000e-01,2.2525560870264387e+00,2.1233921626885928e+00
2.4800000000000000e-01,2.2556267839789070e+00,2.1254965989470866e+00
2.4900000000000000e-01,2.2586877476853040e+00,2.1275869932752407e+00
2.5000000000000000e-01,2.2617391273341756e+00,2.1296634767156752e+00
2.5100000000000000e-01,2.2647810708038731e+00,2.1317261788803288e+00
2.5200000000000000e-01,2.2678137246784984e+00,2.1337752279657334e+00
2.5300000000000000e-01,2.2708372342637859e+00,2.1358107507682043e+00
2.5400000000000000e-01,2.2738517436029202e+00,2.1378328726989535e+00
2.5500000000000000e-01,2.2768573954922680e+00,2.1398417177991096e+00
2.5600000000000001e-01,2.2798543314970394e+00,2.1418374087546526e+00
2.5700000000000001e-01,2.2828426919668705e+00,2.1438200669112515e+00
2.5800000000000001e-01,2.2858226160513131e+00,2.1457898122890056e+00
2.5900000000000001e-01,2.2887942417152431e+00,2.1477467635970826e+00
2.6000000000000001e-01,2.2917577057541769e+00,2.1496910382482612e+00
2.6100000000000001e-01,2.2947131438094925e+00,2.1516227523733575e+00
2.6200000000000001e-01,2.2976606903835592e+00,2.1535420208355549e+00
2.6300000000000001e-01,2.3006004788547676e+00,2.1554489572446132e+00
2.6400000000000001e-01,2.3035326414924566e+00,2.1573436739709746e+00
2.6500000000000001e-01,2.3064573094717500e+00,2.1592262821597497e+00
2.6600000000000001e-01,2.3093746128882748e+00,2.1610968917445916e+00
2.6700000000000002e-01,2.3122846807727906e+00,2.1629556114614510e+00
2.6800000000000002e-01,2.3151876411056995e+00,2.1648025488622156e+00
2.6900000000000002e-01,2.3180836208314615e+00,2.1666378103282260e+00
2.7000000000000002e-01,2.3209727458728926e+00,2.1684615010836756e+00
2.7100000000000002e-01,2.3238551411453550e+00,2.1702737252088853e+00
2.7200000000000002e-01,2.3267309305708479e+00,2.1720745856534585e+00
2.7300000000000002e-01,2.3296002370919724e+00,2.1738641842493109e+00
2.7400000000000002e-01,2.3324631826857969e+00,2.1756426217235814e+00
2.7500000000000002e-01,2.3353198883776072e+00,2.1774099977114112e+00
2.7600000000000002e-01,2.3381704742545466e+00,2.1791664107686053e+00
2.7700000000000002e-01,2.3410150594791403e+00,2.1809119583841672e+00
2.7800000000000002e-01,2.3438537623027114e+00,2.1826467369927065e+00
2.7900000000000003e-01,2.3466867000786835e+00,2.1843708419867260e+00
2.8000000000000003e-01,2.3495139892757733e+00,2.1860843677287778e+00
2.8100000000000003e-01,2.3523357454910654e+00,2.1877874075635004e+00
2.8199999999999997e-01,2.3551520834629813e+00,2.1894800538295258e+00
2.8299999999999997e-01,2.3579631170841338e+00,2.1911623978712655e+00
2.8399999999999997e-01,2.3607689594140715e+00,2.1928345300505709e+00
2.8499999999999998e-01,2.3635697226919099e+00,2.1944965397582670e+00
2.8599999999999998e-01,2.3663655183488514e+00,2.1961485154255644e+00
2.8699999999999998e-01,2.3691564570206047e+00,2.1977905445353501e+00
2.8799999999999998e-01,2.3719426485596795e+00,2.1994227136333491e+00
2.8899999999999998e-01,2.3747242020475827e+00,2.2010451083391702e+00
2.8999999999999998e-01,2.3775012258069017e+00,2.2026578133572241e+00
2.9099999999999998e-01,2.3802738274132853e+00,2.2042609124875234e+00
2.9199999999999998e-01,2.3830421137073072e+00,2.2058544886363611e+00
2.9299999999999998e-01,2.3858061908062425e+00,2.2074386238268682e+00
2.9399999999999998e-01,2.3885661641157094e+00,2.2090133992094527e+00
2.9499999999999998e-01,2.3913221383412342e+00,2.2105788950721177e+00
2.9599999999999999e-01,2.3940742174996994e+00,2.2121351908506659e+00
2.9699999999999999e-01,2.3968225049306908e+00,2.2136823651387827e+00
2.9799999999999999e-01,2.3995671033077390e+00,2.2152204956980022e+00
2.9899999999999999e-01,2.4023081146494674e+00,2.2167496594675642e+00
2.9999999999999999e-01,2.4050456403306368e+00,2.2182699325741466e+00
3.0099999999999999e-01,2.4077797810930841e+00,2.2197813903414936e+00
3.0199999999999999e-01,2.4105106370565785e+00,2.2212841072999243e+00
3.0299999999999999e-01,2.4132383077295607e+00,2.2227781571957306e+00
3.0399999999999999e-01,2.4159628920198060e+00,2.2242636130004660e+00
3.0499999999999999e-01,2.4186844882449741e+00,2.2257405469201235e+00
3.0599999999999999e-01,2.4214031941430836e+00,2.2272090304042003e+00
3.0700000000000000e-01,2.4241191068828742e+00,2.2286691341546607e+00
3.0800000000000000e-01,2.4268323230740938e+00,2.2301209281347876e+00
3.0900000000000000e-01,2.4295429387776850e+00,2.2315644815779252e+00
3.1000000000000000e-01,2.4322510495158856e+00,2.2329998629961234e+00
3.1100000000000000e-01,2.4349567502822409e+00,2.2344271401886715e+00
3.1200000000000000e-01,2.4376601355515310e+00,2.2358463802505311e+00
3.1300000000000000e-01,2.4403612992896040e+00,2.2372576495806649e+00
3.1400000000000000e-01,2.4430603349631328e+00,2.2386610138902681e+00
3.1500000000000000e-01,2.4457573355492883e+00,2.2400565382108946e+00
3.1600000000000000e-01,2.4484523935453222e+00,2.2414442869024858e+00
3.1700000000000000e-01,2.4511456009780752e+00,2.2428243236613015e+00
3.1800000000000000e-01,2.4538370494134045e+00,2.2441967115277537e+00
3.1900000000000001e-01,2.4565268299655285e+00,2.2455615128941422e+00
3.2000000000000001e-01,2.4592150333062994e+00,2.2469187895122968e+00
3.2100000000000001e-01,2.4619017496743956e+00,2.2482686025011249e+00
3.2200000000000001e-01,2.4645870688844349e+00,2.2496110123540634e+00
3.2300000000000001e-01,2.4672710803360234e+00,2.2509460789464439e+00
3.2400000000000001e-01,2.4699538730227251e+00,2.2522738615427595e+00
3.2500000000000001e-01,2.4726355355409582e+00,2.2535944188038468e+00
3.2600000000000001e-01,2.4753161560988231e+00,2.2549078087939773e+00
3.2700000000000001e-01,2.4779958225248633e+00,2.2562140889878592e+00
3.2800000000000001e-01,2.4806746222767564e+00,2.2575133162775525e+00
3.2900000000000001e-01,2.4833526424499328e+00,2.2588055469792998e+00
3.3000000000000002e-01,2.4860299697861397e+00,2.2600908368402690e+00
3.3100000000000002e-01,2.4887066906819282e+00,2.2613692410452138e+00
3.3200000000000002e-01,2.4913828911970866e+00,2.2626408142230496e+00
3.3300000000000002e-01,2.4940586570630097e+00,2.2639056104533486e+00
3.3400000000000002e-01,2.4967340736909973e+00,2.2651636832727524e+00
3.3500000000000002e-01,2.4994092261805085e+00,2.2664150856813037e+00
3.3600000000000002e-01,2.5020841993273457e+00,2.2676598701487003e+00
3.3700000000000002e-01,2.5047590776317854e+00,2.2688980886204693e+00
3.3800000000000002e-01,2.5074339453066514e+00,2.2701297925240649e+00
3.3900000000000002e-01,2.5101088862853338e+00,2.2713550327748879e+00
3.4000000000000002e-01,2.5127839842297552e+00,2.2725738597822316e+00
3.4100000000000003e-01,2.5154593225382773e+00,2.2737863234551510e+00
3.4200000000000003e-01,2.5181349843535692e+00,2.2749924732082598e+00
3.4300000000000003e-01,2.5208110525704077e+00,2.2761923579674539e+00
3.4399999999999997e-01,2.5234876098434422e+00,2.2773860261755621e+00
3.4499999999999997e-01,2.5261647385949075e+00,2.2785735257979272e+00
3.4599999999999997e-01,2.5288425210222849e+00,2.2797549043279153e+00
3.4699999999999998e-01,2.5315210391059209e+00,2.2809302087923564e+00
3.4799999999999998e-01,2.5342003746166029e+00,2.2820994857569170e+00
3.4899999999999998e-01,2.5368806091230889e+00,2.2832627813314050e+00
3.4999999999999998e-01,2.5395618239995925e+00,2.2844201411750062e+00
3.5099999999999998e-01,2.5422441004332321e+00,2.2855716105014574e+00
3.5199999999999998e-01,2.5449275194314303e+00,2.2867172340841506e+00
3.5299999999999998e-01,2.5476121618292873e+00,2.2878570562611791e+00
